date,abbr,topic,content_type,status,post_id,cost,notes
2026-03-28,sdy,Blythswood,location,published,1035,$1.3921,https://sdy.local/wp-admin/post.php?post=1035&action=edit
2026-03-28,sdy,Merchant City,location,review_required,,$0.6463,Quality gate: readability
2026-03-28,sdy,West End,location,review_required,,$0.7628,Quality gate: readability
2026-03-28,sdy,Finnieston,location,review_required,,$0.7807,Quality gate: paragraphs
2026-03-28,sdy,Charing Cross,location,published,1040,$0.8155,https://sdy.local/wp-admin/post.php?post=1040&action=edit
2026-03-28,sdy,Cowcaddens,location,review_required,,$0.7966,Quality gate: readability
2026-03-28,sdy,Southside,location,review_required,,$0.7925,Quality gate: readability
2026-03-28,sdy,Partick,location,published,1045,$0.8259,https://sdy.local/wp-admin/post.php?post=1045&action=edit
2026-03-28,sdy,Hillhead,location,review_required,,$0.9706,Quality gate: readability
2026-03-29,sdy,Stiff Neck or Shoulders,problem,published,1050,$0.9784,https://sdy.local/wp-admin/post.php?post=1050&action=edit
2026-03-29,sdy,Refresh Sore Muscles,problem,published,1055,$0.7351,https://sdy.local/wp-admin/post.php?post=1055&action=edit
2026-03-29,sdy,Melt Away The Blues,problem,published,1060,$0.7915,https://sdy.local/wp-admin/post.php?post=1060&action=edit
